location_id,Reported WHPT Class Year,Typical ASPT Class,Typical NTAXA Class,NGR,SX,SY,EX,EY,Altitude,d_f_source,logaltbar,log_area,disch_cat,slope,chalk,clay,hardrock,limestone,peat,shape_Length
207029,2016,High,High,NH 90721 13010,290700,813000,290750,813000,205,77480.94531,2.7272017,3.07816672,8,0.1,0,0,1,0,0.14538924,50
206717,2018,Good,High,NC 68118 60928,268100,960900,268150,960950,4,36517.47656,2.26150751,2.17281437,5,7.35577679,0,0,0.99837106,0,0.09917883,70.71067812
206910,2017,High,High,NC 71369 56928,271350,956900,271350,956950,8,56556.95703,2.34871697,2.67586541,7,1.74676347,0,0,0.99955708,0,0.32802498,50
207130,2017,High,High,NJ 2922 5086,329200,850850,329250,850800,54,156973.9531,2.66393232,3.45347166,9,1.62890661,0,0,0.96664995,0.01173881,0.12594675,70.71067812
R. Spey u/s Carron Bridge,?,Good,High,NJ 22381 41012,322350,841000,322400,841050,98,138709.8906,2.68089485,3.41059303,9,2.48528147,0,0,0.97084296,0.0088183,0.13822369,70.71067812
582932,2017,Good,High,NJ 12017 35292,312000,835250,312000,835300,150,119712.8516,2.68352485,3.27182364,9,2.5286665,0,0,0.99899864,0.00063773,0.14227863,50
8895,2017,Good,high,NN 88163 18261,288150,718250,288200,718250,30,4556.370605,1.9912076,0.95400119,1,3.69398069,0,0,0,0,0,50
8500,2017,Good,High,NO 20811 37803,320850,737800,320850,737850,51,8836.569336,2.02742267,1.27519608,1,8.42888832,0,0,0,0,0,50
8832,2017,High,High,NO 16168 15836,316200,715800,316150,715850,17,14730.69629,2.30692124,1.53144693,2,8.28427124,0,0,0.97058606,0,0,70.71067812
8062,2017,Moderate,Good,NO 27698 25283,327650,725300,327700,725300,2,10844.7207,1.99431157,1.41048193,1,1.84699035,0,0,0.51928496,0,0,50
10476,2017,Good,High,NO 19384 38559,319400,738550,319350,738600,36,17027.75391,2.10637164,1.8067733,3,16.56854248,0,0,0.19804955,0,0,70.71067812
8888,2017,Good,High,NN 89422 19876,289450,719900,289400,719850,32,21557.34961,1.99507332,1.92792189,4,4.97056293,0,0,0,0,0,70.71067812
499943,2017,High,High,NO 02406 16718,302400,716700,302400,716750,17,9369.414063,2.31795454,1.4150151,3,9.78417778,0,0,0.65695608,0,0,50
7935,2017,Good,High,NO 50686 36308,350700,736350,350700,736300,57,6884.489258,2.17186999,0.94743371,1,12.22734356,0,0,0.03244921,0,0,50
7809,2017,Good,High,NO 41609 57884,341600,757900,341650,757850,98,16904.96094,2.40046597,1.44490314,2,5.5409708,0,0,0.46876684,0,0,70.71067812
7753,2017,High,High,NO 58476 59134,358350,759150,358400,759100,26,69733.6875,2.53835607,2.68436956,7,2.44335985,0,0,0.65711421,0.00557429,0.04863797,70.71067812
7797,2017,Good,High,NO 49310 56801,349300,756800,349350,756750,46,13727.13965,1.98113203,1.6448077,2,0.1,0,0,0,0,0,70.71067812
7672,2017,High,High,NO 65930 66931,365950,766950,365950,766900,26,23549.70117,2.1824584,2.13879991,4,3.55788302,0,0,0.23365963,0,0.05257614,50
100690,2017,Good,High,NS 56845 20102,256850,620100,256800,620150,110,9036.873047,2.34736109,1.40062428,2,11.0819416,0,0,0.36960843,0,0.0571457,70.71067812
122053,2017,Moderate,High,NS 44247 18010,244300,618050,244250,618000,102,9131.544922,2.14785743,1.19103158,1,5.79898977,0,0,0.0979066,0,0,70.71067812
134757,2017,Moderate,High,NS 32868 19427,232900,619400,232850,619450,3,7948.700195,1.75684166,1.2375437,1,2.70976567,0,0,0.08260995,0,0,70.71067812
122753,2017,High,High,NS 49334 25084,249350,625100,249350,625150,65,39811.60156,2.38723087,2.35089707,6,0.84288883,0,0,0.1667261,0,0.3348898,50
4613,2017,Good,Good,NT 33295 67774,333300,667750,333300,667800,31,36187.33594,2.43444443,2.12539983,4,7.11576605,0,0,0.26004869,0,0.06918899,50
122701,2017,Good,High,NS 47148 36934,247100,636900,247150,636950,36,29716.43359,2.12547994,1.87693918,4,2.32567239,0,0,0.13601062,0,0.05555924,70.71067812
