Location code,NGR,Sampled date,SX,SY,EX,EY,Altitude,d_f_source,logaltbar,log_area,disch_cat,slope,chalk,clay,hardrock,limestone,peat,shape_Length
100690,NS 56845 20102,2021-04-26,256850,620100,256800,620150,110,9036.873047,2.34736109,1.40062428,2,11.0819416,0,0,0.36960843,0,0.0571457,70.71067812
122701,NS 47148 36934,2021-05-05,247100,636900,247150,636950,36,29716.43359,2.12547994,1.87693918,4,2.32567239,0,0,0.13601062,0,0.05555924,70.71067812
122053,NS 44247 18010,2021-04-26,244300,618050,244250,618000,102,9131.544922,2.14785743,1.19103158,1,5.79898977,0,0,0.0979066,0,0,70.71067812
122748,NS 36306 21529,2021-05-26,236350,621500,236300,621550,5,68592.27344,2.34101701,2.76261473,7,0.84288883,0,0,0.2542083,0,0.24038503,70.71067812
134757,NS 32868 19427,2021-05-14,232900,619400,232850,619450,3,7948.700195,1.75684166,1.2375437,1,2.70976567,0,0,0.08260995,0,0,70.71067812
4613,NT 33295 67774,2021-05-20,333300,667750,333300,667800,31,36187.33594,2.43444443,2.12539983,4,7.11576605,0,0,0.26004869,0,0.06918899,50
4148,NT 32615 73047,2021-05-27,332600,673050,332650,673050,7,15758.51465,2.14303327,1.35950351,1,11.0819416,0,0,0.30875123,0,0,50
4257,NT 30370 66236,2021-05-27,330400,666200,330350,666250,57,31303.87305,2.4452467,2.10956168,4,5.60660172,0,0,0.26970744,0,0.07175881,70.71067812
335,NS 92793 72719,2021-05-14,292750,672700,292800,672700,115,22486.33789,2.25976062,1.8743223,4,7.24930954,0,0,0.05806538,0,0.22795419,50
1615,NS 88206 82375,2021-05-14,288000,682350,288050,682350,1,35714.53906,2.27472496,2.28242946,6,-9,0,0,0.50069147,0,0.09635206,50
3570,NT 17905 91773,2021-04-29,317850,691800,317900,691750,115,4735.964355,2.15325093,0.98654783,1,5.90022182,0,0,0.20706549,0,0.27694687,70.71067812
1426,NT 21947 95301,2021-04-29,,,,,,,,,,,,,,,,
,NS 74714 63781,,,,,,,,,,,,,,,,,
320337,NS 78191 63655,,,,,,,,,,,,,,,,,
122714,,,,,,,,,,,,,,,,,,
122753,NS 493 252,,,,,,,,,,,,,,,,,
122676,NS 47815 71236,,,,,,,,,,,,,,,,,
122487,,,,,,,,,,,,,,,,,,
337274,NS 79372 58360,,,,,,,,,,,,,,,,,
122575,NS 73855 72533,,,,,,,,,,,,,,,,,
122475,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,
471,NS 93409 65741,2021-05-19,293400,665750,293450,665750,160,8207.279297,2.28544712,1.12799513,1,1.77894151,0,0,0.10798734,0,0.26159003,50
